Accession,Name,Label_Phenotyping,,,Grain_weight(g),N_seeds,Average_weight,Adjusted_weight
GSOR 310670,KUBANETS 508,07-28-2021_EpsonV600_062,,,2.9781,100,0.029781,2.9781
GSOR 310687,IR 9660-48-1-1-2,07-28-2021_EpsonV600_063,,,2.569,100,0.02569,2.569
GSOR 310693,Bakiella 1,07-28-2021_EpsonV600_064,,,1.8891,100,0.018891,1.8891
GSOR 310702,Jumli dhan,07-28-2021_EpsonV600_065,,,2.3071,100,0.023071,2.3071
GSOR 310703,N-2703,07-28-2021_EpsonV600_066,,,2.0436,100,0.020436,2.0436
GSOR 310714,TCHAMPA,07-28-2021_EpsonV600_067,,,2.702,100,0.02702,2.702
GSOR 310715,PHUDUGEY,07-28-2021_EpsonV600_068,,,1.6116,100,0.016116,1.6116
GSOR 310723,WIR 3039,07-28-2021_EpsonV600_069,,,2.4799,100,0.024799,2.4799
GSOR 310724,Ak Tokhum,07-28-2021_EpsonV600_070,,,2.9155,100,0.029155,2.9155
GSOR 310747,BHIM DHAN,07-28-2021_EpsonV600_071,,,2.1958,100,0.021958,2.1958
GSOR 310757,RP2151-173-1-8,07-28-2021_EpsonV600_072,,,2.6392,100,0.026392,2.6392
GSOR 310767,HB-6-2,07-28-2021_EpsonV600_073,,,3.0645,100,0.030645,3.0645
GSOR 310773,ECIA76-S89-1,07-28-2021_EpsonV600_074,,,2.3902,100,0.023902,2.3902
GSOR 310777,WC 3532,07-28-2021_EpsonV600_075,,,2.9918,100,0.029918,2.9918
GSOR 310779,IRRI-IRGC-3381,07-28-2021_EpsonV600_076,,,3.0295,93,0.03257526882,3.257526882
GSOR 310788,Toga,07-28-2021_EpsonV600_077,,,1.9121,100,0.019121,1.9121
GSOR 310791,Kin Shan Zim,07-28-2021_EpsonV600_078,,,1.8562,100,0.018562,1.8562
GSOR 310799,Ragasu,07-28-2021_EpsonV600_079,,,2.5736,100,0.025736,2.5736
GSOR 310801,Tobura,07-28-2021_EpsonV600_080,,,2.9178,94,0.03104042553,3.104042553
GSOR 310802,Tamanishiki,07-28-2021_EpsonV600_081,,,1.9091,100,0.019091,1.9091
GSOR 310809,Yong Chal Byo,07-28-2021_EpsonV600_082,,,2.3949,100,0.023949,2.3949
GSOR 310814,Grassy,07-30-2021_EpsonV600_083,,,2.893,100,0.02893,2.893
GSOR 310836,CIor 11030,07-30-2021_EpsonV600_084,,,2.4267,100,0.024267,2.4267
GSOR 310846,Kao Chio Lin Chou,07-30-2021_EpsonV600_085,,,2.399,100,0.02399,2.399
GSOR 310849,Pan Ju,07-30-2021_EpsonV600_086,,,2.2386,100,0.022386,2.2386
GSOR 310861,Niwahutaw Mochi,07-30-2021_EpsonV600_087,,,2.4537,100,0.024537,2.4537
