Accession,Name,Label_Phenotyping,Notes
GSOR 310932,17-9-4,07-30-2021_EpsonV600_094,e
GSOR 310945,Dular,07-30-2021_EpsonV600_095,e
GSOR 310950,IRRI-IRGC-10529,07-30-2021_EpsonV600_096,e
GSOR 310958,IRRI-IRGC-10569,07-30-2021_EpsonV600_097,e
GSOR 310965,Vary Tarva Osla,07-30-2021_EpsonV600_098,e
GSOR 310984,CSORNUJ,07-30-2021_EpsonV600_099,e
GSOR 310990,R 67,07-30-2021_EpsonV600_100,e
GSOR 310997,LUSITANO,07-30-2021_EpsonV600_101,e
GSOR 310998,WC 4443,07-30-2021_EpsonV600_102,e
GSOR 311016,IR 238,07-30-2021_EpsonV600_103,e
GSOR 311046,WC 5562,07-30-2021_EpsonV600_104,e
GSOR 311074,Mitak,07-30-2021_EpsonV600_105,e
GSOR 311078,Gazan,07-30-2021_EpsonV600_106,e
GSOR 311100,ARC 6578,07-30-2021_EpsonV600_107,e
GSOR 311105,Hsin Hsing Pai Ku,07-30-2021_EpsonV600_108,e
GSOR 311111,99216,07-30-2021_EpsonV600_109,e
GSOR 311113,Shui Ya Jien,07-30-2021_EpsonV600_110,e
GSOR 311117,Tranoeup Beykher,07-30-2021_EpsonV600_111,e
GSOR 311123,10340,07-30-2021_EpsonV600_112,e
GSOR 311140,AKP 4,07-30-2021_EpsonV600_113,e
GSOR 311141,SORNAVARI,07-30-2021_EpsonV600_114,e
GSOR 311151,TD 70,07-30-2021_EpsonV600_115,e
GSOR 311153,IR 2061-214-2-3,07-30-2021_EpsonV600_116,e
GSOR 311167,TAINUNG 45,07-30-2021_EpsonV600_117,e
GSOR 311173,Manga 629,07-30-2021_EpsonV600_118,e
GSOR 311180,Sapundali Local,07-30-2021_EpsonV600_119,e
GSOR 311181,Tauli,07-30-2021_EpsonV600_120,e
GSOR 311185,Bombon,07-30-2021_EpsonV600_121,e
GSOR 311188,Dara,07-30-2021_EpsonV600_122,e
GSOR 311206,79,07-30-2021_EpsonV600_123,e
GSOR 311236,B805D-MR-16-8-3,07-30-2021_EpsonV600_124,e
GSOR 311249,TONO BREA 439,07-30-2021_EpsonV600_125,e
GSOR 311255,Saraya,07-30-2021_EpsonV600_126,e
GSOR 311258,Botika S/R,07-30-2021_EpsonV600_127,e
GSOR 311266,CO 13,07-30-2021_EpsonV600_128,e
GSOR 311269,Shimla Early,07-30-2021_EpsonV600_129,e
GSOR 311278,Montakcl,07-30-2021_EpsonV600_130,e
GSOR 311281,A 152,07-30-2021_EpsonV600_131,e
GSOR 311284,LA PLATA GENA F.A.,07-30-2021_EpsonV600_132,e
GSOR 311286,UZ ROS 59,07-30-2021_EpsonV600_133,e
GSOR 311327,Gasym Hany,07-30-2021_EpsonV600_134,e
GSOR 311383,DARMALI,07-30-2021_EpsonV600_135,e
GSOR 311385,KAUKKYI ANI,07-30-2021_EpsonV600_136,e
GSOR 311393,Celiaj,07-30-2021_EpsonV600_137,e
GSOR 311417,CNTLR80076-44-1-1-1,07-30-2021_EpsonV600_138,e
GSOR 311423,IR 58614-B-B-8-2,07-30-2021_EpsonV600_139,e
GSOR 311435,"CM1, HAIPONG",07-30-2021_EpsonV600_140,e
GSOR 311466,KECHENGNUO NO. 4,07-30-2021_EpsonV600_141,e
GSOR 311483,4484,08-03-2021_EpsonV600_142,e
GSOR 311484,4595,08-03-2021_EpsonV600_143,e
GSOR 311491,YOU-I B,08-03-2021_EpsonV600_144,e
GSOR 311497,CHUNJIANGZAO NO. 1,08-03-2021_EpsonV600_145,e
GSOR 311532,Egyptian Wild Type,08-03-2021_EpsonV600_146,e
GSOR 311537,A 5,08-03-2021_EpsonV600_147,e
GSOR 311539,C.B. II,08-03-2021_EpsonV600_148,e
GSOR 311544,Gallawa,08-03-2021_EpsonV600_149,e
GSOR 311545,Ittikulama,08-03-2021_EpsonV600_150,e
GSOR 311554,Srav Prapay,08-03-2021_EpsonV600_151,e
GSOR 311561,Nang Bang Bentre,08-03-2021_EpsonV600_152,e
GSOR 311563,DNJ 179,08-03-2021_EpsonV600_153,e
GSOR 311572,DJ 24,08-03-2021_EpsonV600_154,e
GSOR 311573,DJ 102,08-03-2021_EpsonV600_155,e
GSOR 311576,DNJ 121,08-03-2021_EpsonV600_156,e
GSOR 311586,Santhi 990,08-03-2021_EpsonV600_157,e
GSOR 311592,UZ ROS 7-13,08-03-2021_EpsonV600_158,e
GSOR 311596,SL 22-620,08-03-2021_EpsonV600_159,e
GSOR 311600,Jyanak,08-03-2021_EpsonV600_160,e
GSOR 311606,Dhan,08-03-2021_EpsonV600_161,l
GSOR 311613,Spin Mere,08-03-2021_EpsonV600_162,e
GSOR 311620,Romeno,08-03-2021_EpsonV600_163,e
GSOR 311642,Tia Bura,08-03-2021_EpsonV600_164,e
GSOR 311643,Padi Tarab Arab,08-03-2021_EpsonV600_165,e
GSOR 311644,IRRI-IRGC-28372,08-03-2021_EpsonV600_166,e
GSOR 311654,CAROLINO 164,08-03-2021_EpsonV600_167,e
GSOR 311656,ASWINA 330,08-03-2021_EpsonV600_168,e
GSOR 311667,HKG 98,08-03-2021_EpsonV600_169,e
GSOR 311668,Daudzai Field Mix,08-03-2021_EpsonV600_170,e
GSOR 311669,JP 5,08-03-2021_EpsonV600_171,e
GSOR 311677,Karabaschak,08-03-2021_EpsonV600_172,e
GSOR 311684,Hi Muke,08-03-2021_EpsonV600_173,e
GSOR 311685,WIR 911,08-03-2021_EpsonV600_174,e
GSOR 311710,Lua Chua Chan,08-03-2021_EpsonV600_183,e
GSOR 311713,Sereno,08-03-2021_EpsonV600_184,e
GSOR 311725,A 36-3,08-03-2021_EpsonV600_185,e
GSOR 311727,Nahng Sawn,08-03-2021_EpsonV600_186,e
GSOR 311734,ARC 10633,08-03-2021_EpsonV600_187,e
GSOR 311735,Simpor,08-03-2021_EpsonV600_188,e
GSOR 311736,Coppocina,08-03-2021_EpsonV600_189,e
GSOR 311739,FUJISAKA 5,08-03-2021_EpsonV600_190,e
GSOR 311741,Soc Nau,08-03-2021_EpsonV600_191,e
GSOR 311744,Heo Trang,08-03-2021_EpsonV600_192,e
GSOR 311745,WONG CHIM,08-03-2021_EpsonV600_193,e
GSOR 311748,Bogarigbeli,08-03-2021_EpsonV600_194,e
GSOR 311751,Magoti,08-03-2021_EpsonV600_195,e
GSOR 311765,Pa Boup,08-03-2021_EpsonV600_196,e
GSOR 311769,Pakkali,08-03-2021_EpsonV600_197,e
GSOR 311775,THAVALU,08-03-2021_EpsonV600_198,e
GSOR 311779,Lukip,08-03-2021_EpsonV600_199,e
GSOR 311781,Krachek Chap,08-03-2021_EpsonV600_200,e
GSOR 311787,KRASNODARSKIJ 3352,08-03-2021_EpsonV600_201,e
GSOR 311788,EMBRAPA 1200,08-03-2021_EpsonV600_202,e
GSOR 311790,WAB462-10-3-1,08-03-2021_EpsonV600_203,e
GSOR 311792,CYPRESS,08-03-2021_EpsonV600_204,e
GSOR 311793,IR 64,08-03-2021_EpsonV600_205,e
GSOR 311794,M-202,08-03-2021_EpsonV600_206,e
GSOR 311795,NIPPONBARE,08-03-2021_EpsonV600_207,e
GSOR 310196,81B/25,08-03-2021_EpsonV600_208,e
GSOR 310226,NORIN 11,08-03-2021_EpsonV600_209,e
GSOR 311547,Karayal,08-03-2021_EpsonV600_210,e
GSOR 311635,AMANE,08-03-2021_EpsonV600_211,e
GSOR 311603,TOg 7025,08-03-2021_EpsonV600_212,e
GSOR 311690,TOg 7135,08-03-2021_EpsonV600_213,e
GSOR 311692,TOg 7257,08-03-2021_EpsonV600_214,e
